class,threshold,recall,precision
normal,0.0003612983,1.0000000000,0.2298850575
normal,0.0003693611,1.0000000000,0.2325581395
normal,0.0003848536,1.0000000000,0.2352941176
normal,0.0004118123,1.0000000000,0.2380952381
normal,0.0004193857,1.0000000000,0.2409638554
normal,0.0004293637,1.0000000000,0.2439024390
normal,0.0004345691,1.0000000000,0.2469135802
normal,0.0004714270,1.0000000000,0.2500000000
normal,0.0004854393,1.0000000000,0.2531645570
normal,0.0005125127,1.0000000000,0.2564102564
normal,0.0005291151,1.0000000000,0.2597402597
normal,0.0005643253,1.0000000000,0.2631578947
normal,0.0005689311,1.0000000000,0.2666666667
normal,0.0005921194,1.0000000000,0.2702702703
normal,0.0005930637,1.0000000000,0.2739726027
normal,0.0006140539,1.0000000000,0.2777777778
normal,0.0006547403,1.0000000000,0.2816901408
normal,0.0007120841,1.0000000000,0.2857142857
normal,0.0007121593,1.0000000000,0.2898550725
normal,0.0007132283,1.0000000000,0.2941176471
normal,0.0007177854,1.0000000000,0.2985074627
normal,0.0007388297,1.0000000000,0.3030303030
normal,0.0007480152,1.0000000000,0.3076923077
normal,0.0007578219,1.0000000000,0.3125000000
normal,0.0007819196,1.0000000000,0.3174603175
normal,0.0008002087,1.0000000000,0.3225806452
normal,0.0008067666,1.0000000000,0.3278688525
normal,0.0008736101,1.0000000000,0.3333333333
normal,0.0008748063,1.0000000000,0.3389830508
normal,0.0008786247,1.0000000000,0.3448275862
normal,0.0009128058,1.0000000000,0.3508771930
normal,0.0009128840,1.0000000000,0.3571428571
normal,0.0009155254,1.0000000000,0.3636363636
normal,0.0009217567,1.0000000000,0.3703703704
normal,0.0009223168,1.0000000000,0.3773584906
normal,0.0009948260,1.0000000000,0.3846153846
normal,0.0010409005,1.0000000000,0.3921568627
normal,0.0010598390,1.0000000000,0.4000000000
normal,0.0010625629,1.0000000000,0.4081632653
normal,0.0010771105,1.0000000000,0.4166666667
normal,0.0010835741,1.0000000000,0.4255319149
normal,0.0012837241,1.0000000000,0.4347826087
normal,0.0013310586,1.0000000000,0.4444444444
normal,0.0013337707,1.0000000000,0.4545454545
normal,0.0013473611,1.0000000000,0.4651162791
normal,0.0013707008,1.0000000000,0.4761904762
normal,0.0013952303,1.0000000000,0.4878048780
normal,0.0013952459,1.0000000000,0.5000000000
normal,0.0014283296,1.0000000000,0.5128205128
normal,0.0014591254,1.0000000000,0.5263157895
normal,0.0015098248,1.0000000000,0.5405405405
normal,0.0016113464,1.0000000000,0.5555555556
normal,0.0016536320,1.0000000000,0.5714285714
normal,0.0016677968,1.0000000000,0.5882352941
normal,0.0017935964,1.0000000000,0.6060606061
normal,0.0020192349,1.0000000000,0.6250000000
normal,0.0021746587,1.0000000000,0.6451612903
normal,0.0023873937,1.0000000000,0.6666666667
normal,0.0026049260,1.0000000000,0.6896551724
normal,0.0027279479,1.0000000000,0.7142857143
normal,0.0034524743,1.0000000000,0.7407407407
normal,0.0035056144,1.0000000000,0.7692307692
normal,0.0043153171,1.0000000000,0.8000000000
normal,0.0044278968,1.0000000000,0.8333333333
normal,0.0087949559,1.0000000000,0.8695652174
normal,0.0092213275,1.0000000000,0.9090909091
normal,0.0161626618,1.0000000000,0.9523809524
normal,0.5061314702,1.0000000000,1.0000000000
normal,0.5090571642,0.9500000000,1.0000000000
normal,0.6226427555,0.9000000000,1.0000000000
normal,0.6379899979,0.8500000000,1.0000000000
normal,0.6789837480,0.8000000000,1.0000000000
normal,0.6899675727,0.7500000000,1.0000000000
normal,0.6910539865,0.7000000000,1.0000000000
normal,0.7837063074,0.6500000000,1.0000000000
normal,0.7967460752,0.6000000000,1.0000000000
normal,0.7997559309,0.5500000000,1.0000000000
normal,0.8447936177,0.5000000000,1.0000000000
normal,0.8465872407,0.4500000000,1.0000000000
normal,0.8582993746,0.4000000000,1.0000000000
normal,0.8657770157,0.3500000000,1.0000000000
normal,0.8684749007,0.3000000000,1.0000000000
normal,0.8693487644,0.2500000000,1.0000000000
normal,0.9105077386,0.2000000000,1.0000000000
normal,0.9340656400,0.1500000000,1.0000000000
normal,0.9613490701,0.1000000000,1.0000000000
normal,0.9766161442,0.0500000000,1.0000000000
normal,,0.0000000000,1.0000000000
